Date,Price,Futures_Price,Basis,F_theoretical,Mispricing,Gross_Arb_Profit,Cost_of_Carry,Net_Arb_Profit,Arb_Opportunity,Spot_Return_1d,Fut_Return_1d,Spot_Vol_5d,Month,Lagged_Basis_5d,Predicted,Correct
2024-06-11,2.71,3.128999948501587,0.41899994850158695,2.7235839315289767,0.4054160169726102,0.41899994850158695,0.01580833333333333,0.40319161516825364,1,0.03831417624521083,0.07673780362988603,0.1911805429432126,6,0.3535999832153324,1,1
2024-06-12,2.8,3.0450000762939453,0.2450000762939455,2.8140350584063225,0.2309650178876228,0.2450000762939455,0.01633333333333333,0.22866674296061215,1,0.03321033210332103,-0.02684559718445101,0.19932385707702388,6,0.4361999797821049,1,1
2024-06-13,2.79,2.9590001106262207,0.16900011062622067,2.8039849331977287,0.15501517742849202,0.16900011062622067,0.016274999999999998,0.15272511062622068,1,-0.0035714285714284477,-0.02824300936386015,0.14188023118131043,6,0.38780000114440966,1,1
2024-06-14,2.74,2.88100004196167,0.1410000419616697,2.7537343071547586,0.12726573480691128,0.1410000419616697,0.015983333333333332,0.1250167086283364,1,-0.017921146953404965,-0.02636027906333649,0.07648529270429856,6,0.31740000343322794,1,1
2024-06-17,2.5,2.7880001068115234,0.28800010681152344,2.5125313021485023,0.27546880466302115,0.28800010681152344,0.014583333333333332,0.2734167734781901,1,-0.08759124087591252,-0.03228043519458712,0.12194260945240668,6,0.25400001525878946,1,1
2024-06-18,2.43,2.9089999198913574,0.47899991989135726,2.4421804256883446,0.46681949420301283,0.47899991989135726,0.014175,0.46482491989135727,1,-0.027999999999999914,0.04340021823679718,0.17398275776657313,6,0.2524000568389896,1,1
2024-06-20,2.39,2.740999937057495,0.350999937057495,2.4019799248539684,0.33902001220352673,0.350999937057495,0.013941666666666666,0.3370582703908283,1,-0.016460905349794275,-0.05775180043323502,0.1831665908403111,6,0.26440005111694365,1,1
2024-06-21,2.44,2.7049999237060547,0.26499992370605474,2.4522305508969384,0.25276937280911627,0.26499992370605474,0.014233333333333332,0.2507665903727214,1,0.02092050209205021,-0.01313389791248476,0.13982131454131672,6,0.28560002326965356,1,1
2024-06-24,2.58,2.811000108718872,0.231000108718872,2.5929323038172547,0.21806780490161737,0.231000108718872,0.01505,0.215950108718872,1,0.05737704918032782,0.03918676081424399,0.07395944834881994,6,0.3047999858856204,1,1
2024-06-25,2.61,2.75600004196167,0.14600004196167005,2.623082679443036,0.13291736251863373,0.14600004196167005,0.015224999999999997,0.13077504196167006,1,0.011627906976744207,-0.019566013742442934,0.09823441352225691,6,0.3227999992370608,1,1
2024-06-26,2.45,2.628000020980835,0.17800002098083478,2.4622806761055327,0.16571934487530227,0.17800002098083478,0.014291666666666666,0.1637083543141681,1,-0.061302681992337016,-0.046444128821466535,0.09555103348505328,6,0.2943999862670902,1,1
2024-06-27,2.55,2.684999942779541,0.1349999427795412,2.5627819281914723,0.12221801458806869,0.1349999427795412,0.014874999999999998,0.1201249427795412,1,0.04081632653061207,0.021689467786774275,0.0770064932331151,6,0.23420000648498568,1,1
